"species","bin","component","model_number","formula","weight"
"yellowfin sole","adult","binomial",2,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.399834727793246
"yellowfin sole","adult","binomial",3,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(X, Y,      k = 20) + s(X, Y, by = cold_pool_2C, k = 20)",0.271159173212307
"yellowfin sole","adult","binomial",4,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(X, Y, k = 20) +      s(X, Y, by = cold_pool_2C, k = 20)",0.284481352286051
"yellowfin sole","adult","tweedie",1,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.023495233256482
"yellowfin sole","adult","tweedie",2,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.102307138133487
"yellowfin sole","adult","tweedie",3,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(X, Y,      k = 20) + s(X, Y, by = cold_pool_2C, k = 20)",0.466691478693319
"yellowfin sole","adult","tweedie",4,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(X, Y, k = 20) +      s(X, Y, by = cold_pool_2C, k = 20)",0.407506149916712
"yellowfin sole","juvenile","binomial",1,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.00921357954336875
"yellowfin sole","juvenile","binomial",2,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.427462657599574
"yellowfin sole","juvenile","binomial",3,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(X, Y,      k = 20) + s(X, Y, by = cold_pool_2C, k = 20)",0.274241844957469
"yellowfin sole","juvenile","binomial",4,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(X, Y, k = 20) +      s(X, Y, by = cold_pool_2C, k = 20)",0.289081917899589
"yellowfin sole","juvenile","tweedie",1,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.0414691151665804
"yellowfin sole","juvenile","tweedie",2,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.394609936469695
"yellowfin sole","juvenile","tweedie",3,"~s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) + s(X, Y,      k = 20) + s(X, Y, by = cold_pool_2C, k = 20)",0.139257486543325
"yellowfin sole","juvenile","tweedie",4,"~s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(X, Y, k = 20) +      s(X, Y, by = cold_pool_2C, k = 20)",0.424663461820399
