"LATITUDE","LONGITUDE","STATION","STRATUM","YEAR","DATETIME","BOT_DEPTH","BOT_TEMP","SURF_TEMP","VESSEL","CRUISE","HAUL","AREA_SWEPT_HA","DURATION_HR","DISTANCE_FISHED_KM"
57.67667,-167.14667,"I-02",31,1982,"29-JUN-1982 08:00AM",70,2.1,5.5,1,80,942,4.4526,0.5,2.667
57.7355,-166.53083,"I-03",31,1982,"27-JUN-1982 04:00PM",66,1.3,5.6,19,106,4269,4.9396,0.5,3.074
57.67667,-165.88833,"I-04",31,1982,"17-JUN-1982 08:00AM",66,0.2,5.1,1,80,914,4.6348,0.5,2.778
57.68283,-165.24933,"I-05",31,1982,"19-JUN-1982 08:00PM",60,-0.4,6.3,19,106,4252,4.9107,0.5,3.056
57.65667,-164.62,"I-06",10,1982,"14-JUN-1982 09:00AM",57,0.4,3.7,1,80,902,4.567,0.5,2.778
57.65017,-163.992,"I-07",10,1982,"18-JUN-1982 08:00AM",51,0.7,6,19,106,4240,4.395,0.5,2.834
57.685,-163.39167,"I-08",10,1982,"10-JUN-1982 07:00PM",48,0.7,2.2,1,80,886,4.7391,0.5,2.889
57.7,-162.75333,"I-09",10,1982,"15-JUN-1982 03:00PM",42,0.8,2.8,19,106,4225,4.9688,0.5,3.204
57.665,-162.13667,"I-10",10,1982,"09-JUN-1982 10:00AM",49,1,2.6,1,80,879,4.567,0.5,2.778
57.65217,-161.48283,"I-11",10,1982,"14-JUN-1982 05:00PM",53,1.8,3.6,19,106,4219,4.4045,0.5,2.741
57.675,-160.89,"I-12",31,1982,"07-JUN-1982 06:00AM",59,0.8,2.1,1,80,869,4.8103,0.5,2.926
57.64467,-160.26067,"I-13",31,1982,"01-JUN-1982 05:00PM",53,0.9,0.5,19,106,4211,5.2345,0.5,3.185
57.65,-159.64167,"I-14",10,1982,"05-JUN-1982 04:00PM",55,0.3,1,1,80,864,3.3488,0.5,2.037
57.68067,-159.01867,"I-15",10,1982,"31-MAY-1982 11:00AM",48,-0.4,0,19,106,4204,5.6242,0.5,3.5
57.67167,-158.36,"I-16",10,1982,"29-MAY-1982 09:00AM",38,-0.6,1.1,1,80,858,4.6383,0.5,2.889
57.66867,-168.41833,"I-18",42,1982,"30-JUN-1982 08:00AM",73,2.5,6.3,1,80,947,4.4654,0.5,2.667
57.66683,-169.07167,"I-19",42,1982,"03-JUL-1982 05:00PM",68,2.7,6.6,19,106,4298,4.6045,0.5,2.963
57.66583,-169.67833,"I-20",42,1982,"03-JUL-1982 04:00PM",73,2.9,4.9,1,80,966,4.739,0.5,2.834
57.68367,-170.29783,"I-21",42,1982,"07-JUL-1982 09:00AM",71,3.2,6.9,19,106,4317,4.7851,0.5,3.019
57.6635,-170.89517,"I-22",42,1982,"08-JUL-1982 06:00AM",91,3.4,6.5,1,80,984,4.3281,0.5,2.556
57.6735,-171.5105,"I-23",41,1982,"09-JUL-1982 03:00PM",99,3.2,6.9,19,106,4327,4.7637,0.5,2.852
57.665,-172.15333,"I-24",61,1982,"09-JUL-1982 03:00PM",110,3.5,6.8,1,80,994,4.6176,0.5,2.704
57.74267,-172.81617,"I-25",61,1982,"13-JUL-1982 10:00AM",121,3.5,6.8,19,106,4341,4.9157,0.5,2.908
57.656,-173.37867,"I-26",61,1982,"18-JUL-1982 07:00PM",143,NA,7.4,19,106,4348,4.7405,0.5,2.759
57.50883,-168.641,"IH1918",42,1982,"30-JUN-1982 10:00AM",73,3.1,6.4,1,80,948,4.8038,0.5,2.871
57.4925,-169.295,"IH2019",42,1982,"03-JUL-1982 02:00PM",70,3.7,6.5,19,106,4297,4.6816,0.5,2.926
57.48983,-169.97567,"IH2120",42,1982,"03-JUL-1982 02:00PM",77,2.6,5.8,1,80,965,4.6696,0.5,2.797
57.5145,-170.55167,"IH2221",42,1982,"07-JUL-1982 12:00PM",73,3.7,7.1,19,106,4318,5.1485,0.5,3.204
58.04117,-167.78867,"J-01",41,1982,"30-JUN-1982 04:00PM",66,2.1,6.9,19,106,4283,3.538,0.5,2.111
57.9975,-167.16883,"J-02",31,1982,"29-JUN-1982 06:00AM",68,1.3,5.1,1,80,941,4.5835,0.5,2.741
57.98533,-166.51633,"J-03",31,1982,"27-JUN-1982 06:00PM",60,1.3,5.2,19,106,4270,4.3896,0.5,2.759
57.995,-165.9,"J-04",10,1982,"17-JUN-1982 06:00AM",59,1,4.5,1,80,913,4.5358,0.5,2.759
58.01533,-165.24683,"J-05",10,1982,"19-JUN-1982 06:00PM",49,1.1,6,19,106,4251,4.2551,0.5,2.648
57.99,-164.625,"J-06",10,1982,"14-JUN-1982 12:00PM",48,0.8,2.4,1,80,903,4.4045,0.5,2.685
57.98117,-164.00067,"J-07",10,1982,"18-JUN-1982 10:00AM",46,1.3,4.1,19,106,4241,4.5671,0.5,2.945
58.01,-163.39167,"J-08",10,1982,"10-JUN-1982 04:00PM",46,0.7,2,1,80,885,4.5529,0.5,2.778
